parceiro;grupo;metrica;label;n_obs;soma;media;mediana;std;variancia;cv_pct;minimo;maximo;amplitude;q25;q50;q75;iqr;skewness;kurtosis
Parceiro A;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);92;1673,69;18,1923;18,1825;1,8955;3,5929;10,42;9,9999;20,0335;10,0336;18,1805;18,1825;18,2118;0,0313;-3,3792;12,5612
Parceiro A;Grupo 2;ticket_medio;Ticket Médio (R$);92;54697,44;594,5374;588,4072;96,7015;9351,1818;16,27;380,9859;969,6;588,6141;533,3972;588,4072;644,2407;110,8435;0,891;1,8122
Parceiro A;Grupo 3;compradores;Compradores (únicos/dia);92;11410,0;124,0217;103,0;67,5217;4559,1863;54,44;41,0;353,0;312,0;72,75;103,0;154,75;82,0;1,1556;0,6476
Parceiro A;Grupo 3;vendas_totais;Vendas Totais — GMV (R$);92;6785856,0;73759,3043;64261,0;41309,1445;1706445419,6206;56,01;19950,0;228467,0;208517,0;41802,0;64261,0;101237,5;59435,5;1,2546;1,6028
Parceiro A;Grupo 3;comissao;Comissão (R$);92;767887,0;8346,5978;7068,5;4934,9552;24353783,1002;59,13;2195,0;25131,0;22936,0;4598,25;7068,5;11377,5;6779,25;1,2617;1,1948
Parceiro A;Grupo 3;cashback;Cashback Distribuído (R$);92;503600,0;5473,913;5028,5;3848,1678;14808395,4209;70,3;804,0;18219,0;17415,0;2209,25;5028,5;8274,5;6065,25;0,9641;0,472
Parceiro A;Grupo 3;lucro;Lucro Líquido (R$);92;264287,0;2872,6848;2442,0;1340,1057;1795883,3171;46,65;1014,0;8300,0;7286,0;1978,5;2442,0;3384,0;1405,5;1,6502;3,1134
Parceiro A;Grupo 3;roi_cashback;ROI do Cashback (vendas/cashback);92;1469,51;15,9729;12,5476;4,9388;24,3922;30,92;9,9995;24,9985;14,999;12,5013;12,5476;20,0006;7,4992;0,7708;-1,0028
Parceiro A;Grupo 3;ticket_medio;Ticket Médio (R$);92;54603,0;593,5108;596,0672;85,2472;7267,0767;14,36;397,4521;859,8571;462,4051;544,3654;596,0672;647,0979;102,7326;0,3962;0,8272
Parceiro B;Grupo 1;compradores;Compradores (únicos/dia);61;7990,0;130,9836;126,0;49,5357;2453,7831;37,82;69,0;396,0;327,0;104,0;126,0;150,0;46,0;2,9745;13,0499
Parceiro B;Grupo 1;vendas_totais;Vendas Totais — GMV (R$);61;4093818,0;67111,7705;61884,0;27224,7957;741189500,6798;40,57;31400,0;214464,0;183064,0;52510,0;61884,0;81164,0;28654,0;2,825;12,7083
Parceiro B;Grupo 1;comissao;Comissão (R$);61;450321,0;7382,3115;6807,0;2994,6937;8968190,2514;40,57;3454,0;23591,0;20137,0;5776,0;6807,0;8928,0;3152,0;2,825;12,7087
Parceiro B;Grupo 1;cashback;Cashback Distribuído (R$);61;163751,0;2684,4426;2475,0;1089,044;1186016,8175;40,57;1256,0;8579,0;7323,0;2100,0;2475,0;3247,0;1147,0;2,8252;12,71
Parceiro B;Grupo 1;lucro;Lucro Líquido (R$);61;286570,0;4697,8689;4332,0;1905,6497;3631500,9492;40,56;2198,0;15012,0;12814,0;3676,0;4332,0;5681,0;2005,0;2,8249;12,7079
Parceiro B;Grupo 1;roi_cashback;ROI do Cashback (vendas/cashback);61;1525,03;25,0004;25,0005;0,003;0,0;0,01;24,9934;25,0069;0,0135;24,998;25,0005;25,0027;0,0047;-0,0507;-0,6224
Parceiro B;Grupo 1;ticket_medio;Ticket Médio (R$);61;31148,06;510,624;511,439;56,5847;3201,8287;11,08;417,3533;618,4091;201,0558;464,4216;511,439;549,118;84,6964;0,1227;-0,9605
Parceiro B;Grupo 2;compradores;Compradores (únicos/dia);61;5452,0;89,377;86,0;41,0971;1688,9721;45,98;45,0;289,0;244,0;67,0;86,0;99,0;32,0;3,2945;13,3617
Parceiro B;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);61;2863019,0;46934,7377;45034,0;21557,778;464737792,7301;45,93;22047,0;159289,0;137242,0;33708,0;45034,0;52014,0;18306,0;2,8883;11,7913
Parceiro B;Grupo 2;comissao;Comissão (R$);61;314935,0;5162,8689;4954,0;2371,3413;5623259,3492;45,93;2425,0;17522,0;15097,0;3708,0;4954,0;5722,0;2014,0;2,8884;11,7921
Parceiro B;Grupo 2;cashback;Cashback Distribuído (R$);61;171778,0;2816,0328;2702,0;1293,4314;1672964,6656;45,93;1323,0;9557,0;8234,0;2022,0;2702,0;3121,0;1099,0;2,888;11,7899
Parceiro B;Grupo 2;lucro;Lucro Líquido (R$);61;143157,0;2346,8361;2252,0;1077,91;1161889,9393;45,93;1102,0;7965,0;6863,0;1686,0;2252,0;2601,0;915,0;2,8888;11,7948
Parceiro B;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);61;1016,69;16,667;16,667;0,0018;0,0;0,01;16,6624;16,6706;0,0082;16,6658;16,667;16,6681;0,0023;-0,0874;-0,2124
Parceiro B;Grupo 2;ticket_medio;Ticket Médio (R$);61;32061,13;525,5924;534,7807;61,4737;3779,0179;11,7;426,5275;623,05;196,5225;467,217;534,7807;579,0897;111,8728;-0,0619;-1,3031
Parceiro B;Grupo 3;compradores;Compradores (únicos/dia);61;5029,0;82,4426;76,0;33,7952;1142,1175;40,99;39,0;245,0;206,0;64,0;76,0;93,0;29,0;2,9849;11,8273
Parceiro B;Grupo 3;vendas_totais;Vendas Totais — GMV (R$);61;2629963,0;43114,1475;40341,0;18453,8604;340544963,9945;42,8;17791,0;138153,0;120362,0;33661,0;40341,0;46429,0;12768,0;2,8923;11,6194
Parceiro B;Grupo 3;comissao;Comissão (R$);61;289290,0;4742,459;4437,0;2029,9817;4120825,5525;42,8;1957,0;15197,0;13240,0;3703,0;4437,0;5107,0;1404,0;2,8923;11,6196
Parceiro B;Grupo 3;cashback;Cashback Distribuído (R$);61;236697,0;3880,2787;3631,0;1660,8489;2758419,0377;42,8;1601,0;12434,0;10833,0;3029,0;3631,0;4179,0;1150,0;2,8924;11,6203
Parceiro B;Grupo 3;lucro;Lucro Líquido (R$);61;52593,0;862,1803;806,0;369,133;136259,1503;42,81;356,0;2763,0;2407,0;674,0;806,0;928,0;254,0;2,8921;11,6165
Parceiro B;Grupo 3;roi_cashback;ROI do Cashback (vendas/cashback);61;677,78;11,1111;11,111;0,0009;0,0;0,01;11,1092;11,1129;0,0037;11,1104;11,111;11,1119;0,0015;0,0122;-0,8789
Parceiro B;Grupo 3;ticket_medio;Ticket Médio (R$);61;31955,97;523,8683;527,5321;64,879;4209,2877;12,38;417,6264;623,1905;205,5641;470,4889;527,5321;595,0297;124,5408;0,0527;-1,4564
Parceiro C;Grupo 1;compradores;Compradores (únicos/dia);45;4549,0;101,0889;101,0;23,8621;569,401;23,61;57,0;140,0;83,0;77,0;101,0;123,0;46,0;0,0236;-1,2173
Parceiro C;Grupo 1;vendas_totais;Vendas Totais — GMV (R$);45;1738460,0;38632,4444;38019,0;9985,9479;99719155,298;25,85;23473,0;57551,0;34078,0;29761,0;38019,0;45968,0;16207,0;0,1243;-1,1748
Parceiro C;Grupo 1;comissao;Comissão (R$);45;121693,0;2704,2889;2661,0;698,964;488550,6646;25,85;1643,0;4029,0;2386,0;2083,0;2661,0;3218,0;1135,0;0,1243;-1,1745
Parceiro C;Grupo 1;cashback;Cashback Distribuído (R$);45;86924,0;1931,6444;1901,0;499,2793;249279,8253;25,85;1174,0;2878,0;1704,0;1488,0;1901,0;2298,0;810,0;0,1244;-1,1742
Parceiro C;Grupo 1;lucro;Lucro Líquido (R$);45;34769,0;772,6444;760,0;199,6851;39874,1434;25,84;469,0;1151,0;682,0;595,0;760,0;920,0;325,0;0,124;-1,1751
Parceiro C;Grupo 1;roi_cashback;ROI do Cashback (vendas/cashback);45;899,99;19,9997;19,9995;0,0031;0,0;0,02;19,9931;20,0067;0,0137;19,9975;19,9995;20,0024;0,0049;0,0476;-0,5698
Parceiro C;Grupo 1;ticket_medio;Ticket Médio (R$);45;17210,35;382,4522;387,2786;42,3101;1790,1414;11,06;304,8442;454,1558;149,3117;348,9412;387,2786;413,3472;64,406;-0,1465;-0,9811
Parceiro C;Grupo 2;compradores;Compradores (únicos/dia);45;4522,0;100,4889;105,0;33,1653;1099,9374;33,0;26,0;152,0;126,0;79,0;105,0;123,0;44,0;-0,4138;-0,6403
Parceiro C;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);45;1685235,0;37449,6667;36295,0;13309,5234;177143412,0909;35,54;8005,0;65543,0;57538,0;28454,0;36295,0;46424,0;17970,0;-0,0863;-0,493
Parceiro C;Grupo 2;comissao;Comissão (R$);45;117967,0;2621,4889;2541,0;931,7264;868114,1192;35,54;560,0;4588,0;4028,0;1992,0;2541,0;3250,0;1258,0;-0,0865;-0,4929
Parceiro C;Grupo 2;cashback;Cashback Distribuído (R$);45;117967,0;2621,4889;2541,0;931,7264;868114,1192;35,54;560,0;4588,0;4028,0;1992,0;2541,0;3250,0;1258,0;-0,0865;-0,4929
Parceiro C;Grupo 2;lucro;Lucro Líquido (R$);45;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
Parceiro C;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);45;642,87;14,2859;14,2857;0,002;0,0;0,01;14,2834;14,2946;0,0112;14,2843;14,2857;14,2868;0,0025;1,8862;5,7327
Parceiro C;Grupo 2;ticket_medio;Ticket Médio (R$);45;16752,24;372,272;374,1753;43,9963;1935,6746;11,82;304,8974;450,6316;145,7341;334,3026;374,1753;409,4766;75,174;0,0414;-1,3063
